model,diagonal_inches,resolution_width_px,resolution_height_px,resolution_width_pt,resolution_height_pt,ppi,max_refresh_rate
MacBook Pro 16-inch (M4),16.2,3456,2234,1728,1117,254,120
MacBook Pro 14-inch (M4),14.2,3024,1964,1512,982,254,120
MacBook Pro 16-inch (M3),16.2,3456,2234,1728,1117,254,120
MacBook Pro 14-inch (M3),14.2,3024,1964,1512,982,254,120
MacBook Pro 16-inch (M2),16.2,3456,2234,1728,1117,254,120
MacBook Pro 14-inch (M2),14.2,3024,1964,1512,982,254,120
MacBook Pro 16-inch (M1),16.2,3456,2234,1728,1117,254,120
MacBook Pro 14-inch (M1),14.2,3024,1964,1512,982,254,120
MacBook Pro 13-inch (M2),13.3,2560,1600,1280,800,227,60
MacBook Pro 13-inch (M1),13.3,2560,1600,1280,800,227,60
MacBook Air 15-inch (M4),15.3,2880,1864,1440,932,224,60
MacBook Air 13-inch (M4),13.6,2560,1664,1280,832,224,60
MacBook Air 15-inch (M3),15.3,2880,1864,1440,932,224,60
MacBook Air 13-inch (M3),13.6,2560,1664,1280,832,224,60
MacBook Air 15-inch (M2),15.3,2880,1864,1440,932,224,60
MacBook Air 13-inch (M2),13.6,2560,1664,1280,832,224,60
MacBook Air 13-inch (M1),13.3,2560,1600,1280,800,227,60
